world_size,init_life,rand,sync,deterministic_period,p,second_threshold,living
64,50,true,true,2,0.00,9, 4.4189
64,50,true,true,2,0.00,9, 7.3730
64,50,true,true,2,0.00,9, 7.1533
64,50,true,true,2,0.00,9, 6.4697
64,50,true,true,2,0.00,9, 7.6904
64,50,true,true,2,0.00,9, 8.4717
64,50,true,true,2,0.00,9, 6.4941
64,50,true,true,2,0.00,9, 6.8115
64,50,true,true,2,0.00,9, 4.9072
64,50,true,true,2,0.00,9, 6.5918
64,50,true,true,2,0.00,9, 9.4727
64,50,true,true,2,0.00,9, 4.2969
64,50,true,true,2,0.00,9, 5.5420
64,50,true,true,2,0.00,9, 9.7412
64,50,true,true,2,0.00,9, 9.3506
64,50,true,true,2,0.00,9, 7.9590
64,50,true,true,2,0.00,9, 6.2012
64,50,true,true,2,0.00,9, 8.7891
64,50,true,true,2,0.00,9, 8.0811
64,50,true,true,2,0.00,9, 4.5410
64,50,true,true,2,0.00,9, 3.7842
64,50,true,true,2,0.00,9, 6.7871
64,50,true,true,2,0.00,9, 7.4463
64,50,true,true,2,0.00,9, 4.3457
64,50,true,true,2,0.00,9, 5.1270
64,50,true,true,2,0.00,9, 6.2012
64,50,true,true,2,0.00,9, 6.3721
64,50,true,true,2,0.00,7, 5.1025
64,50,true,true,2,0.00,7, 5.4199
64,50,true,true,2,0.00,7, 6.3721
64,50,true,true,2,0.00,7, 3.4180
64,50,true,true,2,0.00,7, 5.6885
64,50,true,true,2,0.00,7, 7.0557
64,50,true,true,2,0.00,7, 6.3965
64,50,true,true,2,0.00,7,10.7666
64,50,true,true,2,0.00,7, 5.8350
64,50,true,true,2,0.00,7, 8.5693
64,50,true,true,2,0.00,7, 8.3984
64,50,true,true,2,0.00,7, 4.6631
64,50,true,true,2,0.00,7, 5.3711
64,50,true,true,2,0.00,7, 6.2988
64,50,true,true,2,0.00,7, 5.4199
64,50,true,true,2,0.00,7, 9.2773
64,50,true,true,2,0.00,7, 9.1553
64,50,true,true,2,0.00,7, 6.6406
64,50,true,true,2,0.00,7, 7.2754
64,50,true,true,2,0.00,7, 7.3730
64,50,true,true,2,0.00,7, 9.1553
64,50,true,true,2,0.00,7, 4.4678
64,50,true,true,2,0.00,7, 8.4229
64,50,true,true,2,0.00,7, 5.3223
64,50,true,true,2,0.00,7, 6.8848
64,50,true,true,2,0.00,7, 6.5918
64,50,true,true,2,0.00,7, 5.6396
64,50,true,true,2,0.00,7, 3.8330
64,50,true,true,2,0.00,7, 7.8125
64,50,true,true,2,0.00,7, 5.4688
64,50,true,true,2,0.00,7, 8.3252
64,50,true,true,2,0.00,7, 6.0547
64,50,true,true,2,0.00,7, 5.8350
64,50,true,true,2,0.00,7, 8.4717
64,50,true,true,2,0.00,7, 5.5908
64,50,true,true,2,0.00,7, 8.8623
64,50,true,true,2,0.00,7, 6.3721
64,50,true,true,2,0.00,7, 6.1768
64,50,true,true,2,0.00,7, 2.4414
64,50,true,true,2,0.00,7, 4.2236
64,50,true,true,2,0.00,7, 8.6426
64,50,true,true,2,0.00,7, 6.3721
64,50,true,true,2,0.00,7, 4.4678
64,50,true,true,2,0.00,7, 6.9092
64,50,true,true,2,0.00,7, 9.6191
64,50,true,true,2,0.00,7, 9.8389
64,50,true,true,2,0.00,7, 7.1045
64,50,true,true,2,0.00,7, 9.1553
64,50,true,true,2,0.00,7, 6.8359
64,50,true,true,2,0.00,7, 5.5420
64,50,true,true,2,0.00,7, 7.6172
64,50,true,true,2,0.00,7,10.3271
64,50,true,true,2,0.00,7, 6.9336
64,50,true,true,2,0.00,7, 9.6191
64,50,true,true,2,0.00,7, 6.1523
64,50,true,true,2,0.00,7, 7.0801
64,50,true,true,2,0.00,7, 4.5166
64,50,true,true,2,0.00,7, 4.2969
64,50,true,true,2,0.00,7, 5.6885
64,50,true,true,2,0.00,7, 6.1035
64,50,true,true,2,0.00,7, 5.5664
64,50,true,true,2,0.00,7, 4.8828
64,50,true,true,2,0.00,7, 5.8838
64,50,true,true,2,0.00,7, 3.5889
64,50,true,true,2,0.00,7, 4.5898
64,50,true,true,2,0.00,7, 5.2246
64,50,true,true,2,0.00,7, 6.2744
64,50,true,true,2,0.00,7, 4.0283
64,50,true,true,2,0.00,7, 7.9590
64,50,true,true,2,0.00,7, 6.5186
64,50,true,true,2,0.00,7, 5.7373
64,50,true,true,2,0.00,7, 8.0811
64,50,true,true,2,0.00,7, 5.9814
64,50,true,true,2,0.00,7, 8.4717
64,50,true,true,2,0.00,7, 5.8105
64,50,true,true,2,0.00,7, 4.8096
64,50,true,true,2,0.00,7, 9.7900
64,50,true,true,2,0.00,7, 8.4473
64,50,true,true,2,0.00,7,11.0840
64,50,true,true,2,0.00,7, 8.1543
64,50,true,true,2,0.00,7, 4.5654
64,50,true,true,2,0.00,7, 5.4932
64,50,true,true,2,0.00,7, 7.7148
64,50,true,true,2,0.00,7, 5.9326
64,50,true,true,2,0.00,7, 4.5654
64,50,true,true,2,0.00,7,11.3770
64,50,true,true,2,0.00,7, 5.2490
64,50,true,true,2,0.00,7, 8.3496
64,50,true,true,2,0.00,7,10.3271
64,50,true,true,2,0.00,7, 3.7354
64,50,true,true,2,0.00,7, 8.6182
64,50,true,true,2,0.00,7, 5.8838
64,50,true,true,2,0.00,7, 6.0303
64,50,true,true,2,0.00,7, 5.1514
64,50,true,true,2,0.00,7, 9.5459
64,50,true,true,2,0.00,7, 5.4199
64,50,true,true,2,0.00,7, 5.7373
64,50,true,true,2,0.00,7, 6.3477
64,50,true,true,2,0.00,7, 8.5205
64,50,true,true,2,0.00,7, 7.2754
64,50,true,true,2,0.00,7, 6.8604
64,50,true,true,2,0.00,7, 4.5898
64,50,true,true,2,0.00,7, 9.2773
64,50,true,true,2,0.00,7, 5.2002
64,50,true,true,2,0.00,7, 3.4180
64,50,true,true,2,0.00,7,11.8896
64,50,true,true,2,0.00,7, 5.9570
64,50,true,true,2,0.00,7, 6.8115
64,50,true,true,2,0.00,7, 8.2031
64,50,true,true,2,0.00,7, 9.2285
64,50,true,true,2,0.00,7, 7.2754
64,50,true,true,2,0.00,7, 5.4443
64,50,true,true,2,0.00,7, 7.8857
64,50,true,true,2,0.00,7, 5.7373
64,50,true,true,2,0.00,7, 9.4482
64,50,true,true,2,0.00,7, 4.8340
64,50,true,true,2,0.00,7, 4.6387
64,50,true,true,2,0.00,7, 6.0791
